time,actual_sale,baseline_forecast,advanced_forecast,no_forecast,promo,Environmental_Impact,,,,
1,2621.00391,1835.165892,NA,NA,No Pro,Uncertain,,,2621.00391,1835.165892
2,1886.99385,1886.99385,NA,NA,No Pro,Uncertain,,,1886.99385,1886.99385
3,1783.001892,1766.999892,NA,NA,No Pro,Uncertain,,,1783.001892,1766.999892
4,1639.99794,1639.99794,NA,NA,No Pro,Uncertain,,,1639.99794,1639.99794
5,1620.005898,1620.005898,NA,NA,No Pro,Uncertain,,,1620.005898,1620.005898
6,1571.999898,1571.999898,NA,NA,No Pro,Uncertain,,,1571.999898,1571.999898
7,1431.005898,1431.005898,NA,NA,No Pro,Uncertain,,,1431.005898,1431.005898
8,1567.001898,1567.001898,NA,NA,No Pro,Uncertain,,,1567.001898,1567.001898
9,1180.001886,1180.001886,NA,NA,No Pro,Uncertain,,,1180.001886,1180.001886
10,1666.001904,1649.33391,NA,NA,No Pro,Uncertain,,,1666.001904,1649.33391
11,1999.997874,1999.997874,NA,NA,No Pro,Uncertain,,,1999.997874,1999.997874
12,2024.003856,2024.003856,NA,NA,No Pro,Uncertain,,,2024.003856,2024.003856
13,2189.003838,2189.003838,NA,NA,No Pro,Uncertain,,,2189.003838,2189.003838
14,3253.001934,2046.329922,NA,NA,Yes,Positive,,,3253.001934,2046.329922
15,3262.001904,2120.663874,NA,NA,Yes,Positive,,,3262.001904,2120.663874
16,2020.997874,2020.997874,NA,NA,No Pro,Uncertain,,,2020.997874,2020.997874
17,2446.00188,2403.83388,NA,NA,No Pro,Uncertain,,,2446.00188,2403.83388
18,2499.005922,2499.005922,NA,NA,No Pro,Uncertain,,,2499.005922,2499.005922
19,2786.99988,2541.167874,NA,NA,No Pro,Uncertain,,,2786.99988,2541.167874
20,3325.991886,3149.159916,NA,NA,No Pro,Uncertain,,,3325.991886,3149.159916
21,2885.999886,2885.999886,NA,NA,No Pro,Uncertain,,,2885.999886,2885.999886
22,3189.005862,3189.005862,NA,NA,No Pro,Uncertain,,,3189.005862,3189.005862
23,3083.999856,3061.001832,NA,NA,No Pro,Uncertain,,,3083.999856,3061.001832
24,3065.99391,3065.99391,NA,NA,No Pro,Uncertain,,,3065.99391,3065.99391
25,NA,2942.999934,NA,NA,No  ,Negative,,,2942.999934,2942.999934
