time,actual_sale,baseline_forecast,advanced_forecast,no_forecast,promo,Environmental_Impact,,,,,
1,1755.554621,NA,1774.395647,NA,No Pro,Uncertain,,7899.995796,7984.78041,1755.554621,1774.395647
2,1657.554603,NA,1756.522114,NA,No Pro,Uncertain,,7458.995712,7904.349515,1657.554603,1756.522114
3,3353.106604,NA,3426.447491,NA,Yes,Negative,,15088.97972,15419.01371,3353.106604,3426.447491
4,2857.554616,NA,3361.402142,NA,No Pro,Uncertain,,12858.99577,15126.30964,2857.554616,3361.402142
5,1523.557299,NA,1718.2006,NA,No Pro,Uncertain,,6856.007844,7731.902699,1523.557299,1718.2006
6,1516.442629,NA,1734.540318,NA,No Pro,Uncertain,,6823.991832,7805.431433,1516.442629,1734.540318
7,1654.663939,NA,1853.566917,NA,No Pro,Uncertain,,7445.987724,8341.051127,1654.663939,1853.566917
8,1365.997267,NA,1448.433698,NA,No Pro,Uncertain,,6146.9877,6517.95164,1365.997267,1448.433698
9,1651.333301,NA,1061.981523,NA,No Pro,Uncertain,,7430.999856,4778.916852,1651.333301,1061.981523
10,4170.223942,NA,4871.881833,NA,Yes,Positive,,18766.00774,21923.46825,4170.223942,4871.881833
11,1607.778592,NA,1792.886286,NA,No Pro,Uncertain,,7235.003664,8067.988285,1607.778592,1792.886286
12,1592.002608,NA,1762.191183,NA,No Pro,Uncertain,,7164.011736,7929.860323,1592.002608,1762.191183
13,1638.666605,NA,1594.734584,NA,No Pro,Uncertain,,7373.999724,7176.30563,1638.666605,1594.734584
14,1667.554616,NA,1857.915639,NA,No Pro,Uncertain,,7503.995772,8360.620376,1667.554616,1857.915639
15,4398.442609,NA,3573.126784,NA,Yes,Positive,,19792.99174,16079.07053,4398.442609,3573.126784
16,1582.223944,NA,1773.490177,NA,No Pro,Uncertain,,7120.007748,7980.705795,1582.223944,1773.490177
17,1608.887952,NA,1834.82026,NA,No Pro,Uncertain,,7239.995784,8256.691169,1608.887952,1834.82026
18,3987.999942,NA,3536.289389,NA,Yes,Positive,,17945.99974,15913.30225,3987.999942,3536.289389
19,1507.554627,NA,1802.503522,NA,No Pro,Uncertain,,6783.99582,8111.265851,1507.554627,1802.503522
20,1543.999949,NA,1783.433304,NA,No Pro,Uncertain,,6947.999772,8025.449867,1543.999949,1783.433304
21,1643.999952,NA,1769.27607,NA,No Pro,Uncertain,,7397.999784,7961.742314,1643.999952,1769.27607
22,1623.333283,NA,1712.052862,NA,No Pro,Uncertain,,7304.999772,7704.237877,1623.333283,1712.052862
23,1668.663976,NA,1585.321653,NA,No Pro,Uncertain,,7508.987892,7133.947439,1668.663976,1585.321653
24,1383,NA,1499,NA,No Pro,Uncertain,,15068.98772,18950.30028,3348.663938,4211.17784
25,NA,NA,4211,NA,Yes,Negative,,6347.999868,6227.042445,1410.666637,1383.78721
