time,actual_sale,baseline_forecast,advanced_forecast,no_forecast,promo,Environmental_Impact,,,,,,,
1,3295.003273,NA,3220.997948,NA,No Pro,Uncertain,,,5931.005892,7713.596717,,3295.003273,4820.997948
2,3323.336613,NA,3778.427697,NA,No Pro,Uncertain,,,5982.005904,7645.484315,,3323.336613,4778.427697
3,3067.779913,NA,3083.0675,NA,No Pro,Uncertain,,,5522.003844,7492.908,,3067.779913,4683.0675
4,3169.99991,NA,3653.997729,NA,No Pro,Uncertain,,,5705.999838,7446.396367,,3169.99991,4653.997729
5,2948.886617,NA,3573.567184,NA,No Pro,Uncertain,,,5307.99591,7317.707495,,2948.886617,4573.567184
6,2889.999933,NA,2485.349008,NA,No Pro,Uncertain,,,5201.99988,7176.558412,,2889.999933,4485.349008
7,2302.773247,NA,2314.745594,NA,No Pro,Uncertain,,,4144.991844,6903.59295,,2302.773247,4314.745594
8,3089.44328,NA,2680.542186,NA,No Pro,Uncertain,,,5560.997904,4288.867497,,3089.44328,2680.542186
9,3422.223257,NA,3542.515498,NA,No Pro,Uncertain,,,6160.001862,7268.024797,,3422.223257,4542.515498
10,3332.2233,NA,3481.221589,NA,No Pro,Uncertain,,,5998.00194,7169.954543,,3332.2233,4481.221589
11,3383.886613,NA,3434.603094,NA,No Pro,Uncertain,,,6090.995904,7095.364951,,3383.886613,4434.603094
12,4448,NA,4165.132163,NA,Yes,Negative,,,9457.001904,11464.21146,,5253.889947,7165.132163
13,3901,NA,3890,NA,Yes,Negative,,,9157.997856,12503.89669,,5087.776587,7814.935431
14,3344.446607,NA,3369.585218,NA,No Pro,Uncertain,,,6020.003892,6991.336349,,3344.446607,4369.585218
15,3153.889923,NA,3311.560467,NA,No Pro,Uncertain,,,5677.001862,6898.496747,,3153.889923,4311.560467
16,3480.556613,NA,3332.890644,NA,No Pro,Uncertain,,,6265.001904,6932.62503,,3480.556613,4332.890644
17,3309.446607,NA,3301.6251,NA,No Pro,Uncertain,,,5957.003892,6882.60016,,3309.446607,4301.6251
18,3187.219933,NA,3271.123791,NA,No Pro,Uncertain,,,5736.99588,6833.798065,,3187.219933,4271.123791
19,3116.11328,NA,3230.704791,NA,No Pro,Uncertain,,,5609.003904,6769.127665,,3116.11328,4230.704791
20,2715.55662,NA,3149.674601,NA,No Pro,Uncertain,,,4888.001916,6639.479361,,2715.55662,4149.674601
21,3324.443243,NA,3810.989382,NA,No Pro,Uncertain,,,5983.997838,6097.583011,,3324.443243,3810.989382
22,3417.22325,NA,3760.400413,NA,No Pro,Positive,,,6151.00185,6016.640661,,3417.22325,3760.400413
23,3265.00328,NA,3713.338756,NA,No Pro,Uncertain,,,5877.005904,5941.342009,,3265.00328,3713.338756
24,3042.77995,NA,3364.363059,NA,No Pro,Uncertain,,,5477.00391,6022.980895,,3042.77995,3764.363059
25,NA,NA,5756.904824,NA,Yes,Positive,,,8033.999904,9211.047719,,4463.33328,5756.904824
