time,actual_sale,baseline_forecast,advanced_forecast,no_forecast,promo,Promotion_Impact,,,,,,,,,,,
1,3025.518899,2825.518899,NA,NA,No Pro,Uncertain,,6051.99588,6255.319902,6051.99588,,3025.518899,3036.99962,3025.518899,200,7,2748.518899
2,3023.273073,2908.273073,NA,NA,No Pro,Uncertain,,6013.001904,6226.442583,6013.001904,,3023.273073,3035.39199,3023.273073,115,-143,2908.273073
3,2980.075217,2922.075217,NA,NA,No Pro,Uncertain,,5309.993892,6091.520943,5309.993892,,2980.075217,3027.780593,2980.075217,58,19,2922.075217
4,3022.463315,2825.463315,NA,NA,No Pro,Uncertain,,5999.003892,6072.365122,5999.003892,,3022.463315,3026.686302,3022.463315,197,-82,2825.463315
5,2994.242797,2899.242797,NA,NA,No Pro,Uncertain,,5530.997934,5954.707644,5530.997934,,2994.242797,3019.888355,2994.242797,95,160,2899.242797
6,2974.734905,2864.734905,NA,NA,No Pro,Uncertain,,5228.999874,5819.404906,5228.999874,,2974.734905,3011.902861,2974.734905,110,102,2864.734905
7,2993.110638,2991.510508,NA,NA,No Pro,Uncertain,,5513.003874,5761.635003,5487.671868,,2993.110638,3008.436594,2991.510508,1.600130047,30,3038.510508
8,2898.43361,2898.43361,NA,NA,No Pro,Uncertain,,4197.995928,5475.329036,4197.995928,,2898.43361,2990.728178,2898.43361,0,18,2979.43361
9,2975.00071,2975.00071,NA,NA,No Pro,Uncertain,,5233.001844,3614.72944,5233.001844,,2975.00071,2846.460637,2975.00071,0,-127,3168.00071
10,3048.186116,3048.186116,NA,NA,No Pro,Uncertain,,6460.001898,4233.462227,6460.001898,,3048.186116,2901.356551,3048.186116,0,184,3094.186116
11,3036.091539,3036.091539,NA,NA,No Pro,Uncertain,,6238.991934,6106.263759,6238.991934,,3036.091539,3028.620448,3036.091539,0,-199,2883.091539
12,3238.318285,2996.330917,NA,NA,No Pro,Uncertain,,11166.00597,19107.27253,5564.339844,,3238.318285,3424.958958,2996.330917,241.9873671,-7,3068.330917
13,3599.210502,3009.55188,NA,NA,No Pro,Uncertain,,31550.99993,51316.73862,5780.159868,,3599.210502,3768.207238,3009.55188,589.6586219,101,2894.55188
14,3018.67803,3018.67803,NA,NA,No Pro,Uncertain,,5933.999946,5996.416249,5933.999946,,3018.67803,3022.313418,3018.67803,0,-140,3126.67803
15,2980.859497,2980.859497,NA,NA,No Pro,Uncertain,,5321.99388,0,5321.99388,,2980.859497,#NUM!,2980.859497,0,156,2829.859497
16,3468.751222,3008.508758,NA,NA,No Pro,Uncertain,,21673.9979,-729.4683888,5762.831844,,3468.751222,#NUM!,3008.508758,460.2424637,169,3050.508758
17,2991.847673,3181.847673,NA,NA,No Pro,Uncertain,,5492.999904,6027.145468,5492.999904,,2991.847673,3024.089339,2991.847673,-190,43,3181.847673
18,3020.371724,2882.371724,NA,NA,No Pro,Uncertain,,5962.99788,6084.237827,5962.99788,,3020.371724,3027.364945,3020.371724,138,105,2882.371724
19,2995.30928,3162.30928,NA,NA,No Pro,Uncertain,,5548.001886,4224,5548.001886,,2995.30928,2900.579128,2995.30928,-167,101,3162.30928
20,3040.408586,2962.408586,NA,NA,No Pro,Uncertain,,6316.997904,3456,6316.997904,,3040.408586,2830.858987,3040.408586,78,111,2962.408586
21,3038.14634,2938.14634,NA,NA,No Pro,Uncertain,,6275.999856,5865.564765,6275.999856,,3038.14634,3014.647868,3038.14634,100,-116,2938.14634
22,3062.308677,3187.308677,NA,NA,No Pro,Uncertain,,6727.997892,5810.758223,6727.997892,,3062.308677,3011.386244,3062.308677,-125,199,3187.308677
23,3052.833651,3188.833651,NA,NA,No Pro,Uncertain,,6546.995826,6034.646389,6546.995826,,3052.833651,3024.521462,3052.833651,-136,138,3188.833651
24,3257.770552,3039.876545,NA,NA,No Pro,Uncertain,,11809.00182,15398.24706,6307.331856,,3257.770552,3349.977027,3039.876545,217.8940063,158,3212.876545
25,NA,2973.069688,NA,NA,No  ,Positive,,5203.997862,5414.779996,5203.997862,,2973.069688,2986.864653,2973.069688,#VALUE!,187,2864.069688
