time,actual_sale,baseline_forecast,advanced_forecast,no_forecast,promo,Promotion_Impact,,,,,,,,
1,2428.663916,2428.663916,NA,NA,No Pro,Uncertain,,7285.991748,7164.433524,7285.991748,,2428.663916,,2428.663916
2,2633.331932,2633.331932,NA,NA,No Pro,Uncertain,,7899.995796,7984.78041,7899.995796,,2633.331932,,2633.331932
3,2486.331904,2486.331904,NA,NA,No Pro,Uncertain,,7458.995712,7904.349515,7458.995712,,2486.331904,,2486.331904
4,4899,2434.21192,NA,NA,Yes,Negative,,15088.97972,15419.01371,7302.63576,,4899,,2434.21192
5,4286.331923,2431.719948,NA,NA,Yes,Negative,,12858.99577,15126.30964,7295.159844,,4286.331923,,2431.719948
6,2285.335948,2285.335948,NA,NA,No Pro,Uncertain,,6856.007844,7731.902699,6856.007844,,2285.335948,,2285.335948
7,2274.663944,2274.663944,NA,NA,No Pro,Uncertain,,6823.991832,7805.431433,6823.991832,,2274.663944,,2274.663944
8,2481.995908,2481.995908,NA,NA,No Pro,Uncertain,,7445.987724,8341.051127,7445.987724,,2481.995908,,2481.995908
9,2048.9959,2048.9959,NA,NA,No Pro,Uncertain,,6146.9877,6517.95164,6146.9877,,2048.9959,,2048.9959
10,2476.999952,2476.999952,NA,NA,No Pro,Uncertain,,7430.999856,4778.916852,7430.999856,,2476.999952,,2476.999952
11,4255,2377.611936,NA,NA,Yes,Positive,,18766.00774,21923.46825,7132.835808,,4255,,2377.611936
12,2411.667888,2411.667888,NA,NA,No Pro,Uncertain,,7235.003664,8067.988285,7235.003664,,2411.667888,,2411.667888
13,2388.003912,2388.003912,NA,NA,No Pro,Uncertain,,7164.011736,7929.860323,7164.011736,,2388.003912,,2388.003912
14,2457.999908,2457.999908,NA,NA,No Pro,Uncertain,,7373.999724,7176.30563,7373.999724,,2457.999908,,2457.999908
15,2501.331924,2501.331924,NA,NA,No Pro,Uncertain,,7503.995772,8360.620376,7503.995772,,2501.331924,,2501.331924
16,4597,2420.991916,NA,NA,Yes,Positive,,19792.99174,16079.07053,7262.975748,,4597,,2420.991916
17,2373.335916,2373.335916,NA,NA,No Pro,Uncertain,,7120.007748,7980.705795,7120.007748,,2373.335916,,2373.335916
18,2413.331928,2413.331928,NA,NA,No Pro,Uncertain,,7239.995784,8256.691169,7239.995784,,2413.331928,,2413.331928
19,4981,2388.555904,NA,NA,Yes,Positive,,17945.99974,15913.30225,7165.667712,,4981,,2388.555904
20,2261.33194,2261.33194,NA,NA,No Pro,Uncertain,,6783.99582,8111.265851,6783.99582,,2261.33194,,2261.33194
21,2315.999924,2315.999924,NA,NA,No Pro,Uncertain,,6947.999772,8025.449867,6947.999772,,2315.999924,,2315.999924
22,2465.999928,2465.999928,NA,NA,No Pro,Uncertain,,7397.999784,7961.742314,7397.999784,,2465.999928,,2465.999928
23,2434.999924,2434.999924,NA,NA,No Pro,Uncertain,,7304.999772,7704.237877,7304.999772,,2434.999924,,2434.999924
24,2502.995964,2502.995964,NA,NA,No Pro,Uncertain,,7508.987892,7133.947439,7508.987892,,2502.995964,,2502.995964
25,NA,2367.715952,NA,NA,Yes,Positive,,15068.98772,18950.30028,7103.147856,,4022,,2367.715952
