time,actual_sale,baseline_forecast,advanced_forecast,no_forecast,promo,Environmental_Impact,,,,,,
1,3526.999967,NA,2988.36772,NA,Yes,Positive,,,21161.9998,17930.20632,3526.999967,2988.36772
2,1434.331962,NA,1266.334418,NA,No Pro,Uncertain,,,8605.991772,7598.006509,1434.331962,1266.334418
3,1467.165966,NA,1262.14083,NA,No Pro,Uncertain,,,8802.995796,7572.844982,1467.165966,1262.14083
4,1424.667958,NA,1285.761605,NA,No Pro,Uncertain,,,8548.007748,7714.569629,1424.667958,1285.761605
5,1564.66597,NA,1376.054676,NA,No Pro,Uncertain,,,9387.99582,8256.328055,1564.66597,1376.054676
6,1205.831956,NA,958.0460315,NA,No Pro,Uncertain,,,7234.991736,5748.276189,1205.831956,958.0460315
7,1507.667966,NA,985.2149008,NA,No Pro,Uncertain,,,9046.007796,5911.289405,1507.667966,985.2149008
8,3937.833983,NA,3078.422295,NA,Yes,Positive,,,23627.0039,18470.53377,3937.833983,3078.422295
9,1474.999988,NA,1343.340596,NA,No Pro,Uncertain,,,8849.999928,8060.043577,1474.999988,1343.340596
10,1373.001966,NA,1332.310386,NA,No Pro,Uncertain,,,8238.011796,7993.862315,1373.001966,1332.310386
11,1513.001952,NA,1204.470294,NA,No Pro,Uncertain,,,9078.011712,7226.821764,1513.001952,1204.470294
12,1503.33596,NA,1403.247479,NA,No Pro,Uncertain,,,9020.01576,8419.484873,1503.33596,1403.247479
13,1511.83396,NA,1387.06956,NA,No Pro,Uncertain,,,9071.00376,8322.417359,1511.83396,1387.06956
14,1444.499966,NA,1340.035131,NA,No Pro,Uncertain,,,8666.999796,8040.210784,1444.499966,1340.035131
15,1475.665954,NA,1393.805296,NA,No Pro,Uncertain,,,8853.995724,8362.831775,1475.665954,1393.805296
16,1405.665968,NA,1369.729517,NA,No Pro,Uncertain,,,8433.995808,8218.377099,1405.665968,1369.729517
17,1453.99996,NA,1371.654947,NA,No Pro,Uncertain,,,8723.99976,8229.929683,1453.99996,1371.654947
18,2891.001973,NA,3842.95145,NA,Yes,Negative,,,17346.01184,23057.7087,2891.001973,3842.95145
19,2204.001982,NA,3835.681885,NA,Yes,Negative,,,13224.01189,23014.09131,2204.001982,3835.681885
20,1240,NA,1384,NA,No Pro,Uncertain,,,14130.99576,22109.64593,2355.16596,3684.940988
21,1340.167976,NA,1219.553396,NA,No Pro,Uncertain,,,8041.007856,7317.320375,1340.167976,1219.553396
22,1264.00197,NA,1132.800209,NA,No Pro,Uncertain,,,7584.01182,6796.801256,1264.00197,1132.800209
23,1259.997956,NA,1247.700659,NA,No Pro,Positive,,,7559.987736,7486.203955,1259.997956,1247.700659
24,1216.167946,NA,1287.315498,NA,No Pro,Uncertain,,,7297.007676,7723.892986,1216.167946,1287.315498
25,NA,NA,3535,NA,Yes,Positive,,,7481.015808,7666.660034,1246.835968,1277.776672
