time,actual_sale,baseline_forecast,advanced_forecast,no_forecast,promo,Environmental_Impact
1,220,200,NA,NA,No Pro,Uncertain
2,280,302,NA,NA,No Pro,Uncertain
3,667,320,NA,NA,Yes,Positive
4,200,267,NA,NA,No Pro,Uncertain
5,213,246,NA,NA,No Pro,Uncertain
6,232,201,NA,NA,No Pro,Uncertain
7,293,219,NA,NA,No Pro,Uncertain
8,296,312,NA,NA,No Pro,Uncertain
9,223,279,NA,NA,No Pro,Uncertain
10,227,259,NA,NA,No Pro,Uncertain
11,223,180,NA,NA,No Pro,Uncertain
12,211,176,NA,NA,No Pro,Uncertain
13,213,286,NA,NA,No Pro,Uncertain
14,798,290,NA,NA,Yes,Negative
15,185,243,NA,NA,No Pro,Uncertain
16,193,210,NA,NA,No Pro,Uncertain
17,214,266,NA,NA,No Pro,Uncertain
18,199,294,NA,NA,No Pro,Uncertain
19,189,220,NA,NA,No Pro,Uncertain
20,194,168,NA,NA,No Pro,Uncertain
21,182,156,NA,NA,No Pro,Uncertain
22,159,137,NA,NA,No Pro,Uncertain
23,159,139,NA,NA,No Pro,Uncertain
24,155,130,NA,NA,No Pro,Uncertain
25,NA,127,NA,NA,Yes,Positive
