Date,Forecast Units,Bottom Up Forecast Baseline Units,Actual ExF Sales Units,Actual Scan Sales (Shifted) Units,Scan Forecast (Shifted) Units,Actual Scan Sales Baseline (Shifted) Units,PPP / EA,RRP / EA,,,Start Date,End Date,Type,Incremental Units
29/6/13,0,0,0,0,0,0,0,0,,,9/3/16,29/3/16,Shelf Talker,18000
6/7/13,0,0,0,0,0,0,0,0,,,6/4/16,19/4/16,Shelf Talker (2 Weeks),9600
13/7/13,0,0,0,0,0,0,0,0,,,27/4/16,10/5/16,Shelf Talker (2 Weeks),12000
20/7/13,0,0,0,0,0,0,0,0,,,1/6/16,14/6/16,Shelf Talker,-3000
27/7/13,0,0,0,0,0,0,0,0,,,15/6/16,28/6/16,Shelf Talker (2 Weeks),6138
3/8/13,0,0,0,0,0,0,0,0,,,13/7/16,26/7/16,Minor Advertised,-800
10/8/13,0,0,0,0,0,0,0,0,,,27/7/16,9/8/16,Shelf Talker (2 Weeks),5940
17/8/13,0,0,0,0,0,0,0,0,,,7/9/16,20/9/16,Shelf Talker,-400
24/8/13,0,0,0,0,0,0,0,0,,,21/9/16,4/10/16,Shelf Talker (2 Weeks),9080.000016
31/8/13,0,0,0,0,0,0,0,0,,,19/10/16,1/11/16,Shelf Talker (2 Weeks),-600
7/9/13,0,0,0,0,0,0,0,0,,,2/11/16,15/11/16,Shelf Talker (2 Weeks),10100.00006
14/9/13,0,0,0,0,0,0,0,0,,,30/11/16,13/12/16,Shelf Talker,-800
21/9/13,0,0,0,0,0,0,0,0,,,4/1/17,10/1/17,Shelf Talker,12799.99998
28/9/13,0,0,0,0,0,0,0,0,,,1/2/17,14/2/17,Shelf Talker,-800
5/10/13,0,0,0,0,0,0,0,0,,,15/2/17,28/2/17,Shelf Talker (2 Weeks),11600.00006
12/10/13,0,0,0,0,0,0,0,0,,,22/3/17,4/4/17,Shelf Talker,-800
19/10/13,0,0,0,0,0,0,0,0,,,12/4/17,25/4/17,Shelf Talker (2 Weeks),21681.22283
26/10/13,0,0,0,0,0,0,0,0,,,26/4/17,9/5/17,Shelf Talker,-600
2/11/13,0,0,0,0,0,0,0,0,,,21/6/17,27/6/17,Shelf Talker,13894.96458
9/11/13,0,0,0,0,0,0,0,0,,,12/7/17,25/7/17,Shelf Talker (2 Weeks),-600
16/11/13,0,0,0,0,0,0,0,0,,,26/7/17,8/8/17,Shelf Talker (2 Weeks),14813.14282
23/11/13,0,0,0,0,0,0,0,0,,,6/9/17,19/9/17,Shelf Talker (2 Weeks),-600
30/11/13,0,0,0,0,0,0,0,0,,,20/9/17,3/10/17,Shelf Talker (2 Weeks),13313.14282
7/12/13,0,0,0,0,0,0,0,0,,,18/10/17,31/10/17,Shelf Talker (2 Weeks),-600
14/12/13,0,0,0,0,0,0,0,0,,,1/11/17,14/11/17,Shelf Talker (2 Weeks),8626.285648
