Date,Forecast Units,Bottom Up Forecast Baseline Units,Actual ExF Sales Units,Actual Scan Sales (Shifted) Units,Scan Forecast (Shifted) Units,Actual Scan Sales Baseline (Shifted) Units,PPP / EA,RRP / EA,,Start Date,End Date,Type,Incremental Units
29/6/13,0,0,0,0,0,0,4.05,4.05,,27/4/16,10/5/16,Shelf Talker (2 Weeks),882.2856528
6/7/13,0,0,0,0,0,0,4.05,4.05,,31/8/16,13/9/16,Shelf Talker (2 Weeks),2300.039976
13/7/13,0,0,0,0,0,0,4.05,4.05,,19/10/16,1/11/16,Shelf Talker (2 Weeks),2300.039976
20/7/13,0,0,0,0,0,0,4.05,4.05,,25/1/17,7/2/17,Shelf Talker (2 Weeks),2418.967272
27/7/13,0,0,0,0,0,0,4.05,4.05,,26/4/17,9/5/17,Shelf Talker (2 Weeks),3863.999988
3/8/13,0,0,0,0,0,0,4.05,4.05,,26/7/17,8/8/17,Shelf Talker (2 Weeks),8200.000122
10/8/13,0,0,0,0,0,0,4.05,4.05,,13/9/17,26/9/17,Shelf Talker (2 Weeks),10297.14296
17/8/13,0,0,0,0,0,0,4.05,4.05,,15/11/17,28/11/17,Shelf Talker (2 Weeks),10200.00017
24/8/13,0,0,0,0,0,0,4.05,4.05,,14/3/18,27/3/18,Shelf Talker (2 Weeks),7032.698466
31/8/13,0,0,0,0,0,0,4.05,4.05,,18/4/18,1/5/18,Shelf Talker (2 Weeks),6871.925064
7/9/13,0,0,0,0,0,0,4.05,4.05,,6/6/18,19/6/18,Shelf Talker (2 Weeks),7289.53818
14/9/13,0,0,0,0,0,0,4.05,4.05,,,,,
21/9/13,0,0,0,0,0,0,4.05,4.05,,,,,
28/9/13,0,0,0,0,0,0,4.05,4.05,,,,,
5/10/13,0,0,0,0,0,0,4.05,4.05,,,,,
12/10/13,0,0,0,0,0,0,4.05,4.05,,,,,
19/10/13,0,0,0,0,0,0,4.05,4.05,,,,,
26/10/13,0,0,0,0,0,0,4.05,4.05,,,,,
2/11/13,0,0,0,0,0,0,4.05,4.05,,,,,
9/11/13,0,0,0,0,0,0,4.05,4.05,,,,,
16/11/13,0,0,0,0,0,0,4.05,4.05,,,,,
23/11/13,0,0,0,0,0,0,4.05,4.05,,,,,
30/11/13,0,0,0,0,0,0,4.05,4.05,,,,,
7/12/13,0,0,0,0,0,0,4.05,4.05,,,,,
14/12/13,0,0,0,0,0,0,4.05,4.05,,,,,
21/12/13,0,0,0,0,0,0,4.05,4.05,,,,,
28/12/13,0,0,0,0,0,0,4.05,4.05,,,,,
4/1/14,0,0,0,0,0,0,4.05,4.05,,,,,
11/1/14,0,0,0,0,0,0,4.05,4.05,,,,,
18/1/14,0,0,0,0,0,0,4.05,4.05,,,,,
25/1/14,0,0,0,0,0,0,4.05,4.05,,,,,
1/2/14,0,0,0,0,0,0,4.05,4.05,,,,,
8/2/14,0,0,0,0,0,0,4.05,4.05,,,,,
15/2/14,0,0,0,0,0,0,4.05,4.05,,,,,
22/2/14,0,0,0,0,0,0,4.05,4.05,,,,,
1/3/14,0,0,0,0,0,0,4.05,4.05,,,,,
8/3/14,0,0,0,0,0,0,4.05,4.05,,,,,
15/3/14,0,0,0,0,0,0,4.05,4.05,,,,,
22/3/14,0,0,0,0,0,0,4.05,4.05,,,,,
29/3/14,0,0,0,0,0,0,4.05,4.05,,,,,
5/4/14,0,0,0,0,0,0,4.05,4.05,,,,,
12/4/14,0,0,0,0,0,0,4.05,4.05,,,,,
19/4/14,0,0,0,0,0,0,4.05,4.05,,,,,
26/4/14,0,0,0,0,0,0,4.05,4.05,,,,,
3/5/14,0,0,0,0,0,0,4.05,4.05,,,,,
10/5/14,0,0,0,0,0,0,4.05,4.05,,,,,
17/5/14,0,0,0,0,0,0,4.05,4.05,,,,,
24/5/14,0,0,0,0,0,0,4.05,4.05,,,,,
31/5/14,0,0,0,0,0,0,4.05,4.05,,,,,
7/6/14,0,0,0,0,0,0,4.05,4.05,,,,,
14/6/14,0,0,0,0,0,0,4.05,4.05,,,,,
21/6/14,0,0,0,0,0,0,4.05,4.05,,,,,
28/6/14,0,0,0,0,0,0,4.05,4.05,,,,,
5/7/14,0,0,0,0,0,0,4.05,4.05,,,,,
12/7/14,0,0,0,0,0,0,4.05,4.05,,,,,
19/7/14,0,0,0,0,0,0,4.05,4.05,,,,,
26/7/14,0,0,0,0,0,0,4.05,4.05,,,,,
2/8/14,0,0,0,0,0,0,4.05,4.05,,,,,
9/8/14,0,0,0,0,0,0,4.05,4.05,,,,,
16/8/14,0,0,0,0,0,0,4.05,4.05,,,,,
23/8/14,0,0,0,0,0,0,4.05,4.05,,,,,
30/8/14,0,0,0,0,0,0,4.05,4.05,,,,,
6/9/14,0,0,0,0,0,0,4.05,4.05,,,,,
13/9/14,0,0,0,0,0,0,4.05,4.05,,,,,
20/9/14,0,0,0,0,0,0,4.05,4.05,,,,,
27/9/14,0,0,0,0,0,0,4.05,4.05,,,,,
4/10/14,0,0,0,0,0,0,4.05,4.05,,,,,
11/10/14,0,0,0,0,0,0,4.05,4.05,,,,,
18/10/14,0,0,0,0,0,0,4.05,4.05,,,,,
25/10/14,0,0,0,0,0,0,4.05,4.05,,,,,
1/11/14,0,0,0,0,0,0,4.05,4.05,,,,,
8/11/14,0,0,0,0,0,0,4.05,4.05,,,,,
15/11/14,0,0,0,0,0,0,4.05,4.05,,,,,
22/11/14,0,0,0,0,0,0,4.05,4.05,,,,,
29/11/14,0,0,0,0,0,0,4.05,4.05,,,,,
6/12/14,0,0,0,0,0,0,4.05,4.05,,,,,
13/12/14,0,0,0,0,0,0,4.05,4.05,,,,,
20/12/14,0,0,0,0,0,0,4.05,4.05,,,,,
27/12/14,0,0,0,0,0,0,4.05,4.05,,,,,
3/1/15,0,0,0,0,0,0,4.05,4.05,,,,,
10/1/15,0,0,0,0,0,0,4.05,4.05,,,,,
17/1/15,0,0,0,0,0,0,4.05,4.05,,,,,
24/1/15,0,0,0,0,0,0,4.05,4.05,,,,,
31/1/15,0,0,0,0,0,0,4.05,4.05,,,,,
7/2/15,0,0,0,0,0,0,4.05,4.05,,,,,
14/2/15,0,0,0,0,0,0,4.05,4.05,,,,,
21/2/15,0,0,0,0,0,0,4.05,4.05,,,,,
28/2/15,0,0,0,0,0,0,4.05,4.05,,,,,
7/3/15,0,0,0,0,0,0,4.05,4.05,,,,,
14/3/15,0,0,0,0,0,0,4.05,4.05,,,,,
21/3/15,0,0,0,0,0,0,4.05,4.05,,,,,
28/3/15,0,0,0,0,0,0,4.05,4.05,,,,,
4/4/15,0,0,0,0,0,0,4.05,4.05,,,,,
11/4/15,0,0,0,0,0,0,4.05,4.05,,,,,
18/4/15,0,0,0,0,0,0,4.05,4.05,,,,,
25/4/15,0,0,0,0,0,0,4.05,4.05,,,,,
2/5/15,0,0,0,0,0,0,4.05,4.05,,,,,
9/5/15,0,0,0,0,0,0,4.05,4.05,,,,,
16/5/15,0,0,0,0,0,0,4.05,4.05,,,,,
23/5/15,0,0,0,0,0,0,4.05,4.05,,,,,
30/5/15,0,0,0,0,0,0,4.05,4.05,,,,,
6/6/15,0,0,0,0,0,0,4.05,4.05,,,,,
13/6/15,0,0,0,0,0,0,4.05,4.05,,,,,
20/6/15,0,0,0,0,0,0,4.05,4.05,,,,,
27/6/15,0,0,0,0,0,0,4.05,4.05,,,,,
4/7/15,0,0,0,0,0,0,4.05,4.05,,,,,
11/7/15,0,0,0,0,0,0,4.05,4.05,,,,,
18/7/15,0,0,0,0,0,0,4.05,4.05,,,,,
25/7/15,0,0,0,0,0,0,4.05,4.05,,,,,
1/8/15,0,0,0,0,0,0,4.05,4.05,,,,,
8/8/15,0,0,0,0,0,0,4.05,4.05,,,,,
15/8/15,0,0,0,0,0,0,4.05,4.05,,,,,
22/8/15,0,0,0,0,0,0,4.05,4.05,,,,,
29/8/15,0,0,0,0,0,0,4.05,4.05,,,,,
5/9/15,0,0,0,0,0,0,4.05,4.05,,,,,
12/9/15,0,0,0,0,0,0,4.05,4.05,,,,,
19/9/15,0,0,0,0,0,0,4.05,4.05,,,,,
26/9/15,0,0,0,0,0,0,4.05,4.05,,,,,
3/10/15,0,0,0,0,0,0,4.05,4.05,,,,,
10/10/15,0,0,0,0,0,0,4.05,4.05,,,,,
17/10/15,0,0,0,0,0,0,4.05,4.05,,,,,
24/10/15,0,0,0,0,0,0,4.05,4.05,,,,,
31/10/15,0,0,0,0,0,0,4.05,4.05,,,,,
7/11/15,0,0,0,0,0,0,4.05,4.05,,,,,
14/11/15,0,0,0,0,0,0,4.05,4.05,,,,,
21/11/15,0,0,0,0,0,0,4.05,4.05,,,,,
28/11/15,0,0,0,0,0,0,4.05,4.05,,,,,
5/12/15,0,0,0,0,0,0,4.05,4.05,,,,,
12/12/15,0,0,0,0,0,0,4.05,4.05,,,,,
19/12/15,0,0,0,0,0,0,4.05,4.05,,,,,
26/12/15,0,0,0,0,0,0,4.05,4.05,,,,,
2/1/16,0,0,0,0,0,0,4.05,4.05,,,,,
9/1/16,0,0,0,0,0,0,4.05,4.05,,,,,
16/1/16,0,0,0,0,0,0,4.05,4.05,,,,,
23/1/16,0,0,0,0,0,0,4.05,4.05,,,,,
30/1/16,0,0,0,0,0,0,4.05,4.05,,,,,
6/2/16,0,0,0,0,0,0,4.05,4.05,,,,,
13/2/16,0,0,0,0,0,0,4.05,4.05,,,,,
20/2/16,0,0,0,0,0,0,4.05,4.05,,,,,
27/2/16,0,0,0,0,0,0,4.05,4.05,,,,,
5/3/16,0,0,0,0,0,0,4.05,4.05,,,,,
12/3/16,0,0,0,0,0,0,4.05,4.05,,,,,
19/3/16,0,0,0,0,0,0,4.05,4.05,,,,,
26/3/16,0,0,0,0,0,0,4.05,4.05,,,,,
2/4/16,0,0,0,0,0,0,4.05,4.05,,,,,
9/4/16,0,0,0,1.997982,0,568.163988,4.05,4.05,,,,,
16/4/16,9411.999946,8640,8640,149.999934,8640,149.999934,4.05,4.05,,,,,
23/4/16,840.571413,619.9999998,1728,1894.001886,1171.428533,1670.999862,3.349667424,4.05,,,,,
30/4/16,1970.285707,1860,5184,2210.999868,2411.428533,1670.99394,3.434595877,4.043418941,,,,,
7/5/16,2879.428587,3100,1728,1865.003868,3100,1865.003868,4.04971247,4.04971247,,,,,
14/5/16,3100,3100,1728,1869.005922,3100,1869.005922,4.049999883,4.049999883,,,,,
21/5/16,3100,3100,0,2107.001862,3100,2094.16788,4.047689048,4.049999883,,,,,
28/5/16,2700,2700,3456,1901.999904,2700,1901.999904,4.046493136,4.046493136,,,,,
4/6/16,2619,2619,1728,1840.001898,2619,1840.001898,4.042519552,4.046493136,,,,,
11/6/16,2565,2565,780,1806.00588,2565,1806.00588,4.049993493,4.049993493,,,,,
18/6/16,2401.2,2401.2,0,1868.003886,2401.2,1868.003886,4.049684885,4.049993493,,,,,
25/6/16,1664.982,1664.982,1728,1735.997928,1664.982,1735.997928,4.04999405,4.04999405,,,,,
2/7/16,1757.481,1757.481,1728,1780.997946,1757.481,1780.997946,4.050048555,4.050048555,,,,,
9/7/16,1664.982,1664.982,1728,2027.999862,1664.982,2027.999862,4.048323391,4.050048555,,,,,
16/7/16,1757.481,1757.481,1728,1866.005862,1757.481,1866.005862,4.045097846,4.048323391,,,,,
23/7/16,1849.98,1849.98,1728,1787.993886,1849.98,1787.993886,4.050323102,4.050323102,,,,,
30/7/16,1849.98,1849.98,1728,1934.999934,1849.98,1934.999934,4.041875689,4.050323102,,,,,
6/8/16,1849.98,1849.98,3456,1841.003934,1849.98,1841.003934,4.044381385,4.044381385,,,,,
13/8/16,1849.98,1849.98,3456,1881.995892,1849.98,1881.995892,4.040551985,4.044381385,,,,,
20/8/16,2769.99599,1849.98,1728,1746.005856,1849.98,1746.005856,4.047701864,4.047701864,,,,,
27/8/16,2654.993992,1849.98,1728,3004.997856,2999.999988,1821.99591,3.35480474,4.047701864,,,,,
3/9/16,2654.993992,1849.98,3456,2848.001856,2999.999988,1812.329862,3.33911067,4.038337495,,,,,
10/9/16,1619.976002,1849.98,1728,1755.995892,1849.98,1755.995892,4.025860965,4.033308073,,,,,
17/9/16,1849.98,1849.98,1728,1757.99988,1849.98,1757.99988,4.039810831,4.039810831,,,,,
24/9/16,1757.481,1757.481,1728,1874.00388,1757.481,1874.00388,4.039330706,4.039810831,,,,,
1/10/16,1664.982,1664.982,1728,1925.99988,1664.982,1925.99988,4.031796995,4.039330706,,,,,
8/10/16,2399.99999,1479.984,3456,1918.001904,1479.984,1918.001904,4.050323102,4.050323102,,,,,
15/10/16,2654.993992,1849.98,0,3131.003946,2999.999988,1854.833904,3.36260246,4.050323102,,,,,
22/10/16,2654.993992,1849.98,3456,2621.00391,2999.999988,1835.165892,3.349810821,4.038218648,,,,,
29/10/16,1619.976002,1849.98,1728,1886.99385,1849.98,1886.99385,4.024697434,4.038218648,,,,,
5/11/16,1849.98,1849.98,1728,1783.001892,1849.98,1766.999892,4.03416623,4.042569036,,,,,
12/11/16,1849.98,1849.98,1728,1639.99794,1849.98,1639.99794,4.05,4.05,,,,,
19/11/16,1849.98,1849.98,1728,1620.005898,1849.98,1620.005898,4.05,4.05,,,,,
26/11/16,1849.98,1849.98,1728,1571.999898,1849.98,1571.999898,4.049475066,4.05,,,,,
3/12/16,1849.98,1849.98,1728,1431.005898,1849.98,1431.005898,4.03640653,4.049475066,,,,,
10/12/16,1849.98,1849.98,0,1567.001898,1849.98,1567.001898,4.023939833,4.03640653,,,,,
17/12/16,1849.98,1849.98,1728,1180.001886,1849.98,1180.001886,4.037964045,4.037964045,,,,,
24/12/16,1109.988,1109.988,3456,1666.001904,1109.988,1649.33391,4.050004433,4.037964045,,,,,
31/12/16,1294.986,1294.986,0,1999.997874,1294.986,1999.997874,4.04999405,4.04999405,,,,,
7/1/17,1849.98,1849.98,3456,2024.003856,1849.98,2024.003856,4.043385649,4.04999405,,,,,
14/1/17,2817.566909,1849.98,1728,2189.003838,1849.98,2189.003838,4.036152211,4.043385649,,,,,
21/1/17,2419.121545,1572.483,5184,3253.001934,2781.966636,2046.329922,3.355711111,4.036152211,,,,,
28/1/17,2696.618545,1849.98,1728,3262.001904,3059.463636,2120.663874,3.350128686,4.033119788,,,,,
4/2/17,1608.083273,1849.98,3456,2020.997874,1849.98,2020.997874,4.021955343,4.029953062,,,,,
11/2/17,1849.98,1849.98,0,2446.00188,1849.98,2403.83388,4.049772985,4.049772985,,,,,
18/2/17,6918.9252,6918.9252,8640,2499.005922,6918.9252,2499.005922,4.032666501,4.049772985,,,,,
25/2/17,3459.4626,3459.4626,5184,2786.99988,3459.4626,2541.167874,4.03097575,4.032666501,,,,,
4/3/17,1849.98,1849.98,5184,3325.991886,1849.98,3149.159916,4.036162285,4.036162285,,,,,
11/3/17,1849.98,1849.98,5184,2885.999886,1849.98,2885.999886,4.035168004,4.036162285,,,,,
18/3/17,1849.98,1849.98,3456,3189.005862,1849.98,3189.005862,4.033368211,4.035168004,,,,,
25/3/17,1849.98,1849.98,3456,3083.999856,1849.98,3061.001832,4.038138217,4.038138217,,,,,
1/4/17,2800,2800,3456,3065.99391,2800,3065.99391,4.050155181,4.050155181,,,,,
8/4/17,2660,2660,3456,2942.999934,2660,2942.999934,4.038902509,4.050155181,,,,,
15/4/17,4009.599995,2464,0,3123.005844,2464,3099.173868,4.034782859,4.038902509,,,,,
22/4/17,3816.399996,2464,5184,7640.003952,4395.999994,3142.997928,3.351713333,4.034782859,,,,,
29/4/17,3732.399996,2380,5184,6370.997892,4311.999994,3195.99588,3.343274293,4.028605168,,,,,
6/5/17,2413.600001,2800,6912,3051.995898,2800,3051.995898,4.039125877,4.039125877,,,,,
13/5/17,2800,2800,5184,3634.00191,2800,3634.00191,4.045424763,4.045424763,,,,,
20/5/17,2800,2800,5184,3389.999928,2800,3389.999928,4.034334045,4.045424763,,,,,
27/5/17,2716,2716,5184,3895.997868,2716,3866.83185,4.034128155,4.034334045,,,,,
3/6/17,2945,2945,1728,3830.99388,2945,3830.99388,4.036824993,4.036824993,,,,,
10/6/17,2852,2852,3456,3284.993922,2852,3284.993922,4.036315063,4.036824993,,,,,
17/6/17,2790,2790,5184,3377.003868,2790,3377.003868,4.046666214,4.046666214,,,,,
24/6/17,2945,2945,3456,3410.999928,2945,3410.999928,4.035329271,4.046666214,,,,,
1/7/17,2905.714286,2905.714286,0,3490.997874,2905.714286,3490.997874,4.037789436,4.037789436,,,,,
8/7/17,3067.142857,3067.142857,3456,4107.00591,3067.142857,4107.00591,4.030247277,4.037789436,,,,,
15/7/17,6680.000049,3400,5184,4156.99788,3400,4067.83188,4.04491573,4.04491573,,,,,
22/7/17,6270.000043,3400,12096,8863.001868,7500.000061,3638.165916,3.338744285,4.04491573,,,,,
29/7/17,6270.000043,3400,5184,7780.997868,7500.000061,3647.327922,3.34132138,4.034895259,,,,,
5/8/17,2579.999988,3400,3456,3314.003868,3400,3314.003868,4.036063589,4.036063589,,,,,
12/8/17,3400,3400,5184,3435.995934,3400,3435.995934,4.036852865,4.036852865,,,,,
19/8/17,3400,3400,0,3475.99791,3400,3475.99791,4.042964036,4.042964036,,,,,
26/8/17,3400,3400,3456,3461.999856,3400,3461.999856,4.04158172,4.042964036,,,,,
2/9/17,7518.857183,3400,5184,3028.00785,3400,3028.00785,4.032128032,4.04158172,,,,,
9/9/17,7004.000035,3400,6528,8198.003856,8548.571479,3237.99588,3.343281936,4.032128032,,,,,
16/9/17,7004.000035,3400,6912,6734.99988,8548.571479,3183.833898,3.35004224,4.035046878,,,,,
23/9/17,2200.285704,3230,3456,3140.999862,3230,3140.999862,4.030006209,4.035046878,,,,,
30/9/17,3060,3060,1728,2885.003856,3060,2885.003856,4.045686694,4.045686694,,,,,
7/10/17,2720,2720,3456,3110.999892,2720,3110.999892,4.046007855,4.046007855,,,,,
14/10/17,3400,3400,3456,3028.997874,3400,3028.997874,4.014086108,4.046007855,,,,,
21/10/17,3400,3400,0,3505.99788,3400,3505.99788,4.04239798,4.04239798,,,,,
28/10/17,3400,3400,1728,3355.997904,3400,3355.997904,4.042883288,4.042883288,,,,,
4/11/17,7480.00007,3400,1728,2919.995904,3400,2919.995904,4.050121125,4.050121125,,,,,
11/11/17,6970.000061,3400,8640,6328.997892,8500.000087,2950.487862,3.334880126,4.050121125,,,,,
18/11/17,6970.000061,3400,5184,5737.997916,8500.000087,2894.993892,3.347445536,4.023333877,,,,,
25/11/17,2379.999983,3400,1728,2618.003934,3400,2618.003934,4.025806184,4.025806184,,,,,
2/12/17,3400,3400,1728,2273.99991,3400,2273.99991,4.031516803,4.031516803,,,,,
9/12/17,3400,3400,3456,2695.997892,3400,2695.997892,4.024620282,4.031516803,,,,,
16/12/17,3400,3400,1728,2385.989844,3400,2385.989844,4.035687963,4.035687963,,,,,
23/12/17,2040,2040,3456,2646.00588,2040,2646.00588,4.035248995,4.035687963,,,,,
30/12/17,2380,2380,1728,2884.997934,2380,2884.997934,4.040644572,4.040644572,,,,,
6/1/18,3400,3400,1728,2685.005862,3400,2685.005862,4.04963053,4.04963053,,,,,
13/1/18,3400,3400,5184,3549.995904,3400,3526.82988,4.049668529,4.04963053,,,,,
20/1/18,3113.293233,3113.293233,5184,2787.995868,3113.293233,2787.995868,4.045918975,4.045918975,,,,,
27/1/18,2523.010561,2523.010561,1728,3310.007862,2523.010561,3310.007862,4.049343111,4.049343111,,,,,
3/2/18,2938.61889,2938.61889,0,3436.997928,2938.61889,3390.329922,4.044073738,4.049343111,,,,,
10/2/18,5184,5184,5184,3256.001868,5184,3202.16988,4.046672519,4.046672519,,,,,
17/2/18,0,0,3456,3123.005844,0,3123.005844,4.049492895,4.049492895,,,,,
24/2/18,8640,8640,6912,2614.99791,8640,2614.99791,4.046748918,4.049492895,,,,,
3/3/18,5654.747911,2841.668524,5184,2473.997904,2841.668524,2473.997904,4.038339786,4.046748918,,,,,
10/3/18,5317.561811,2856.117348,3456,5848.00188,6372.466581,2766.161916,3.297798528,4.044978435,,,,,
17/3/18,5290.646286,2829.201823,1728,6563.003874,6345.551056,2651.165874,3.298107992,4.044978435,,,,,
24/3/18,2426.677852,3129.947699,6912,2290.001868,3129.947699,2290.001868,4.032751075,4.044913411,,,,,
31/3/18,0,0,3456,2915.999898,0,2915.999898,4.049725298,4.049725298,,,,,
7/4/18,5941.57875,3192.808725,5184,2489.003874,3192.808725,2489.003874,4.049850422,4.049850422,,,,,
14/4/18,5436.836028,3031.662255,5184,7368.99597,6467.624787,2688.98994,3.301974435,4.049850422,,,,,
21/4/18,5279.474594,2874.300821,5184,5779.001886,6310.263353,2688.995904,3.294449107,4.041976819,,,,,
28/4/18,2443.65048,3130.842986,3456,2814.995904,3130.842986,2814.995904,4.027052717,4.041976819,,,,,
5/5/18,3107.482429,3107.482429,1728,2989.001946,3107.482429,2989.001946,4.049876946,4.049876946,,,,,
12/5/18,3085.179233,3085.179233,1728,2635.001922,3085.179233,2635.001922,4.043361614,4.049876946,,,,,
19/5/18,3063.15206,3063.15206,0,2953.997844,3063.15206,2953.997844,4.046911928,4.046911928,,,,,
26/5/18,8432.865434,2965.711799,8640,2341.00188,2965.711799,2341.00188,4.046584498,4.046911928,,,,,
2/6/18,3646.861907,2917.908089,5184,8021.999874,6562.677179,2698.331874,3.296961531,4.046584498,,7289.53818,,,
9/6/18,4636.383151,2813.998606,5184,5438.003928,6458.767696,2679.827892,3.300047851,4.046990938,,,,,
16/6/18,2019.981942,2748.93576,3456,2684.999898,2748.93576,2684.999898,4.031106451,4.046990938,,,,,
23/6/18,2740.649465,2740.649465,3456,2597.99988,2740.649465,2597.99988,4.051181883,4.051181883,,,,,
30/6/18,2713.164889,2713.164889,1728,2903.99991,2713.164889,2903.99991,4.061324939,4.061324939,,,,,
