Date,Forecast Units,Bottom Up Forecast Baseline Units,Actual ExF Sales Units,Actual Scan Sales (Shifted) Units,Scan Forecast (Shifted) Units,Actual Scan Sales Baseline (Shifted) Units,PPP / EA,RRP / EA,,Start Date,End Date,Type,Incremental Units
29/6/13,0,0,5184,0,0,0,4.05,4.05,,30/7/14,12/8/14,Shelf Talker (2 Weeks),3435.653658
6/7/13,0,0,5184,0,0,0,4.05,4.05,,29/10/14,11/11/14,Shelf Talker (2 Weeks),2643.848904
13/7/13,0,0,3456,0,0,0,4.05,4.05,,28/1/15,3/2/15,Front Gondola End,47770.47218
20/7/13,0,0,6144,0,0,0,4.05,4.05,,29/4/15,12/5/15,Shelf Talker (2 Weeks),4849.011606
27/7/13,0,0,4608,0,0,0,4.05,4.05,,2/9/15,15/9/15,Shelf Talker (2 Weeks),7446.262086
3/8/13,0,0,2064,0,0,0,4.05,4.05,,27/1/16,2/2/16,Front Gondola End,31719.17977
10/8/13,0,0,8640,0,0,0,4.05,4.05,,3/2/16,16/2/16,Shelf Talker (2 Weeks),389.50131
17/8/13,0,0,3456,0,0,0,4.05,4.05,,13/4/16,26/4/16,Shelf Talker (2 Weeks),5730.883686
24/8/13,0,0,5184,0,0,0,4.05,4.05,,3/8/16,16/8/16,Weekly Special,5364.428778
31/8/13,0,0,5184,0,0,0,4.05,4.05,,7/9/16,20/9/16,Weekly Special,5366.520084
7/9/13,0,0,1728,0,0,0,4.05,4.05,,19/10/16,25/10/16,Weekly Special,3101.50413
14/9/13,0,0,960,0,0,0,4.05,4.05,,23/1/17,31/1/17,Weekly Special,29753.24254
21/9/13,0,0,2046,0,0,0,4.05,4.05,,12/4/17,18/4/17,Weekly Special,4587.567018
28/9/13,0,0,1728,0,0,0,4.05,4.05,,9/8/17,15/8/17,Weekly Special,4690.695348
5/10/13,0,0,5568,0,0,0,4.05,4.05,,6/9/17,19/9/17,Weekly Special,5147.231136
12/10/13,0,0,1728,0,0,0,4.05,4.05,,18/10/17,31/10/17,Weekly Special,3544.736148
19/10/13,0,0,3456,0,0,0,4.05,4.05,,11/4/18,17/4/18,Weekly Special,4.55E-13
26/10/13,0,0,1728,0,0,0,4.05,4.05,,6/6/18,19/6/18,Weekly Special,11065.95627
2/11/13,0,0,2688,0,0,0,4.05,4.05,,,,,
9/11/13,0,0,1728,0,0,0,4.05,4.05,,,,,
16/11/13,0,0,4032,0,0,0,4.05,4.05,,,,,
23/11/13,0,0,2688,0,0,0,4.05,4.05,,,,,
30/11/13,0,0,1728,0,0,0,4.05,4.05,,,,,
7/12/13,0,0,4416,0,0,0,4.05,4.05,,,,,
14/12/13,0,0,0,0,0,0,4.05,4.05,,,,,
21/12/13,0,0,3456,0,0,0,4.05,4.05,,,,,
28/12/13,0,0,1152,0,0,0,4.05,4.05,,,,,
4/1/14,0,0,5184,0,0,0,4.05,4.05,,,,,
11/1/14,0,0,0,0,0,0,4.05,4.05,,,,,
18/1/14,0,0,4224,0,0,0,4.05,4.05,,,,,
25/1/14,0,0,2688,0,0,0,4.05,4.05,,,,,
1/2/14,0,0,768,0,0,0,4.05,4.05,,,,,
8/2/14,0,0,4608,0,0,0,4.05,4.05,,,,,
15/2/14,0,0,4416,0,0,0,4.05,4.05,,,,,
22/2/14,0,0,2688,0,0,0,4.05,4.05,,,,,
1/3/14,0,0,3456,0,0,0,4.05,4.05,,,,,
8/3/14,0,0,2682,0,0,0,4.05,4.05,,,,,
15/3/14,0,0,1728,0,0,0,4.05,4.05,,,,,
22/3/14,0,0,4224,0,0,0,4.05,4.05,,,,,
29/3/14,0,0,3456,0,0,0,4.05,4.05,,,,,
5/4/14,0,0,4416,0,0,0,4.05,4.05,,,,,
12/4/14,0,0,1728,0,0,0,4.05,4.05,,,,,
19/4/14,0,0,2496,0,0,0,4.05,4.05,,,,,
26/4/14,0,0,2688,0,0,0,4.05,4.05,,,,,
3/5/14,0,0,3456,0,0,0,4.05,4.05,,,,,
10/5/14,0,0,3456,0,0,0,4.05,4.05,,,,,
17/5/14,0,0,4026,0,0,0,4.05,4.05,,,,,
24/5/14,0,0,3456,0,0,0,4.05,4.05,,,,,
31/5/14,0,0,1728,0,0,0,4.05,4.05,,,,,
7/6/14,0,0,2880,0,0,0,4.05,4.05,,,,,
14/6/14,0,0,3840,0,0,0,4.05,4.05,,,,,
