Date,Forecast Units,Bottom Up Forecast Baseline Units,Actual ExF Sales Units,Actual Scan Sales (Shifted) Units,Scan Forecast (Shifted) Units,Actual Scan Sales Baseline (Shifted) Units,PPP / EA,RRP / EA,,Start Date,End Date,Type,Incremental Units
29/6/13,0,0,10752,9389.003736,0,9389.003736,4.720002465,4.720079788,,24/7/13,6/8/13,Shelf Talker (2 Weeks),9701.78208
6/7/13,0,0,9504,9533.987736,0,9533.987736,4.720001323,4.720002465,,16/10/13,29/10/13,Shelf Talker (2 Weeks),8610.12
13/7/13,8489.05932,0,14592,9891.995652,0,9891.995652,4.720000534,4.720001323,,18/12/13,31/12/13,Shelf Talker (2 Weeks),8009.73792
20/7/13,2425.44552,0,15360,14337.01172,6063.6138,9629.72388,3.72003923,4.790659535,,12/3/14,25/3/14,Shelf Talker (2 Weeks),7612.77696
27/7/13,1212.72276,0,10752,13942.00777,6063.6138,9381.707748,3.719956812,4.85883125,,23/7/14,5/8/14,Shelf Talker (2 Weeks),17691.0494
3/8/13,-1.39E-13,0,9216,9148.007736,0,9148.007736,4.919912457,4.919912457,,15/10/14,28/10/14,Shelf Talker (2 Weeks),7704.383597
10/8/13,0,0,7968,9415.991844,0,9415.991844,4.970099902,4.970099902,,17/12/14,30/12/14,Shelf Talker (2 Weeks),10719.07108
17/8/13,0,0,10932,9530.999772,0,9530.999772,4.979915821,4.979915821,,11/3/15,24/3/15,Shelf Talker (2 Weeks),6175.008298
24/8/13,0,0,7872,9628.00776,0,9628.00776,4.959911962,4.979915821,,29/7/15,4/8/15,WW Earn & Learn,26160.86342
31/8/13,0,0,12672,10167.99571,0,10121.17176,4.77000069,4.965274759,,30/9/15,6/10/15,Minor Advertised,17903.31193
7/9/13,0,0,6336,10484.00388,0,10464.75587,4.719978025,4.96934293,,4/11/15,10/11/15,Minor Advertised,17556.3935
14/9/13,0,0,12576,10314.9958,0,10286.24377,4.720023805,4.974389636,,24/2/16,8/3/16,Shelf Talker,10334.66665
21/9/13,0,0,11520,10199.00372,0,10166.09975,4.710024876,4.974389636,,9/3/16,29/3/16,Shelf Talker,-6000
28/9/13,0,0,21216,10549.0198,0,10537.48777,4.709976396,4.942886078,,30/3/16,5/4/16,Major Advertised,12930.28214
5/10/13,5108.40948,0,12288,10982.99975,0,10954.31971,4.710000184,4.963222784,,6/4/16,19/4/16,Shelf Talker (2 Weeks),-3999.999996
12/10/13,2152.53,0,11520,15867.99581,5381.325,10670.87977,3.710011495,5.004983072,,20/4/16,26/4/16,Shelf Talker,9800.861532
19/10/13,1076.265,0,11520,15173.98772,5381.325,10391.56776,3.700043286,5.004983072,,27/4/16,10/5/16,Shelf Talker (2 Weeks),-3999.999996
26/10/13,-2.93E-14,0,9696,10118.0037,0,10118.0037,4.940080152,4.984456316,,1/6/16,14/6/16,Shelf Talker,7823.760566
2/11/13,0,0,9504,10719.99583,0,10719.99583,5.090073806,5.090073806,,15/6/16,28/6/16,Shelf Talker (2 Weeks),-600
9/11/13,0,0,10752,10370.99977,0,10370.99977,5.089913311,5.090073806,,13/7/16,26/7/16,Minor Advertised,15775.95098
16/11/13,0,0,10944,10796.00374,0,10796.00374,5.090001872,5.090001872,,27/7/16,9/8/16,Shelf Talker (2 Weeks),-600
23/11/13,0,0,9984,10404.99575,0,10404.99575,5.090076948,5.090076948,,7/9/16,20/9/16,Shelf Talker,9122.324544
30/11/13,0,0,10752,11100.99572,0,11100.99572,5.09000203,5.090076948,,21/9/16,4/10/16,Shelf Talker (2 Weeks),-900
7/12/13,4855.99068,0,14208,10844.00369,0,10844.00369,5.090001951,5.09000203,,19/10/16,1/11/16,Shelf Talker (2 Weeks),10930.28215
14/12/13,2002.43448,0,15552,16191.99574,5006.0862,10651.87175,4.101234807,5.090001951,,2/11/16,15/11/16,Shelf Talker (2 Weeks),-600
21/12/13,1001.21724,0,8448,11056.00784,5006.0862,10357.01974,4.089941416,4.851938039,,30/11/16,13/12/16,Shelf Talker,10930.28215
