Date,Forecast Units,Bottom Up Forecast Baseline Units,Actual ExF Sales Units,Actual Scan Sales (Shifted) Units,Scan Forecast (Shifted) Units,Actual Scan Sales Baseline (Shifted) Units,PPP / EA,RRP / EA,,Start Date,End Date,Type,Incremental Units
29/6/13,0,0,9216,7245.99582,0,7245.99582,4.940169223,4.940169223,,6/8/14,12/8/14,Minor Advertised,25097.44193
6/7/13,7109.911183,7109.911183,6528,7271.003796,7109.911183,7271.003796,4.94999877,4.94999877,,27/8/14,2/9/14,Minor Advertised,21721.11296
13/7/13,7262.478689,7262.478689,6144,7606.991868,7262.478689,7606.991868,4.920189055,4.94999877,,22/10/14,28/10/14,Minor Advertised,10582.65764
20/7/13,7107.774953,7107.774953,8448,7236.011664,7107.774953,7236.011664,4.959810749,4.959810749,,26/11/14,2/12/14,Minor Advertised,11138.77231
27/7/13,7279.911358,7279.911358,7392,7393.991724,7279.911358,7393.991724,4.920195486,4.959810749,,7/1/15,13/1/15,Minor Advertised,10713.59518
3/8/13,7232.983205,7232.983205,7680,7248.011736,7232.983205,7248.011736,4.959798774,4.959798774,,11/2/15,17/2/15,Minor Advertised,10378.7752
10/8/13,7324.782877,7324.782877,8448,7391.999916,7324.782877,7391.999916,4.95020845,4.959798774,,8/4/15,14/4/15,Minor Advertised,38669.29721
17/8/13,7268.41823,7268.41823,7680,7410.995844,7268.41823,7410.995844,4.949752982,4.95020845,,6/5/15,12/5/15,Minor Advertised,8304.641904
24/8/13,7181.490383,7181.490383,6144,7446.995892,7181.490383,7446.995892,4.96,4.96,,17/6/15,23/6/15,Minor Advertised,11483.97914
31/8/13,7025.177104,7025.177104,9024,7382.99982,7025.177104,7382.99982,4.959823993,4.96,,15/7/15,21/7/15,Minor Advertised,10996.80559
7/9/13,7176.039886,7176.039886,7680,7441.991844,7176.039886,7441.991844,4.959792219,4.959823993,,26/8/15,1/9/15,Minor Advertised,10688.47764
14/9/13,7268.699616,7268.699616,8448,7148.003772,7268.699616,7148.003772,4.889831275,4.959792219,,12/10/15,20/10/15,Minor Advertised,9360.210696
21/9/13,7446.362555,7446.362555,6144,7691.999868,7446.362555,7691.999868,4.95018453,4.95018453,,18/11/15,24/11/15,Minor Advertised,9993.854064
28/9/13,7652.778713,7652.778713,8448,7679.003892,7652.778713,7679.003892,4.93,4.95018453,,6/1/16,12/1/16,Minor Advertised,10622.65171
5/10/13,6394.514201,6394.514201,6912,8128.007832,6394.514201,8128.007832,4.9301798,4.9301798,,16/3/16,5/4/16,Minor Advertised,44613.76687
