Date,Forecast Units,Bottom Up Forecast Baseline Units,Actual ExF Sales Units,Actual Scan Sales (Shifted) Units,Scan Forecast (Shifted) Units,Actual Scan Sales Baseline (Shifted) Units,PPP / EA,RRP / EA,,Start Date,End Date,Type,Incremental Units
29/6/13,0,0,6912,0,0,0,4.05,4.05,,4/9/13,17/9/13,Shelf Talker (2 Weeks),1740.40008
6/7/13,0,0,6336,0,0,0,4.05,4.05,,26/2/14,11/3/14,Every Day Rewards WW,769.5404784
13/7/13,0,0,3456,0,0,0,4.05,4.05,,18/6/14,1/7/14,Shelf Talker,2656.170036
20/7/13,0,0,5922,0,0,0,4.05,4.05,,3/9/14,16/9/14,Shelf Talker (2 Weeks),1490.083733
27/7/13,0,0,8832,0,0,0,4.05,4.05,,25/2/15,10/3/15,In-Store,-3773.016442
3/8/13,0,0,2880,0,0,0,4.05,4.05,,13/5/15,26/5/15,Shelf Talker,6762.510132
10/8/13,0,0,3648,0,0,0,4.05,4.05,,2/9/15,15/9/15,Shelf Talker (2 Weeks),10411.57666
17/8/13,0,0,8256,0,0,0,4.05,4.05,,21/10/15,3/11/15,Shelf Talker (2 Weeks),6938.868965
24/8/13,1522.85007,0,4608,0,0,0,4.05,4.05,,27/1/16,9/2/16,Shelf Talker (2 Weeks),10889.40629
31/8/13,435.10002,0,8640,0,1087.75005,0,2.95,4.05,,27/4/16,10/5/16,Shelf Talker (2 Weeks),4291.547755
7/9/13,217.55001,0,6144,0,1087.75005,0,2.95,4.05,,31/8/16,13/9/16,Shelf Talker (2 Weeks),5931.894498
14/9/13,-1.33E-15,0,7104,0,0,0,4.05,4.05,,19/10/16,1/11/16,Shelf Talker (2 Weeks),7186.376322
21/9/13,0,0,5184,0,0,0,4.05,4.05,,25/1/17,7/2/17,Shelf Talker (2 Weeks),8017.308378
28/9/13,0,0,5952,0,0,0,4.05,4.05,,26/4/17,9/5/17,Shelf Talker (2 Weeks),6280.18011
5/10/13,0,0,3072,0,0,0,4.05,4.05,,26/7/17,8/8/17,Shelf Talker (2 Weeks),9892.29381
12/10/13,0,0,5376,0,0,0,4.05,4.05,,13/9/17,26/9/17,Shelf Talker (2 Weeks),11836.06514
19/10/13,0,0,6912,0,0,0,4.05,4.05,,15/11/17,28/11/17,Shelf Talker (2 Weeks),13580.36057
26/10/13,0,0,7104,0,0,0,4.05,4.05,,14/3/18,27/3/18,Shelf Talker (2 Weeks),11038.89959
2/11/13,0,0,4608,0,0,0,4.05,4.05,,18/4/18,1/5/18,Shelf Talker (2 Weeks),15437.79639
9/11/13,0,0,8832,0,0,0,4.05,4.05,,6/6/18,19/6/18,Shelf Talker (2 Weeks),8643.56925
16/11/13,0,0,5184,0,0,0,4.05,4.05,,,,,
23/11/13,0,0,7296,0,0,0,4.05,4.05,,,,,
30/11/13,0,0,1728,0,0,0,4.05,4.05,,,,,
7/12/13,0,0,8640,0,0,0,4.05,4.05,,,,,
