Date,Forecast Units,Bottom Up Forecast Baseline Units,Actual ExF Sales Units,Actual Scan Sales (Shifted) Units,Scan Forecast (Shifted) Units,Actual Scan Sales Baseline (Shifted) Units,PPP / EA,RRP / EA,,Start Date,End Date,Type,Incremental Units
29/6/13,0,0,8640,0,0,0,4.05,4.05,,30/7/14,12/8/14,Shelf Talker (2 Weeks),9643.338366
6/7/13,0,0,9216,0,0,0,4.05,4.05,,29/10/14,11/11/14,Shelf Talker (2 Weeks),9227.023914
13/7/13,0,0,5184,0,0,0,4.05,4.05,,28/1/15,3/2/15,Front Gondola End,51217.47728
20/7/13,0,0,10368,0,0,0,4.05,4.05,,29/4/15,12/5/15,Shelf Talker (2 Weeks),10826.44357
27/7/13,0,0,6912,0,0,0,4.05,4.05,,2/9/15,15/9/15,Shelf Talker (2 Weeks),7702.495098
3/8/13,0,0,8640,0,0,0,4.05,4.05,,27/1/16,2/2/16,Front Gondola End,74842.82453
10/8/13,0,0,8640,0,0,0,4.05,4.05,,3/2/16,16/2/16,Shelf Talker (2 Weeks),732.1246584
17/8/13,0,0,5184,0,0,0,4.05,4.05,,13/4/16,26/4/16,Shelf Talker (2 Weeks),10594.72278
24/8/13,0,0,6912,0,0,0,4.05,4.05,,3/8/16,16/8/16,Weekly Special,11601.2675
31/8/13,0,0,8640,0,0,0,4.05,4.05,,7/9/16,20/9/16,Weekly Special,11706.3626
7/9/13,0,0,5184,0,0,0,4.05,4.05,,19/10/16,25/10/16,Weekly Special,6040.609212
14/9/13,0.00E+00,0,8640,0,0,0,4.05,4.05,,23/1/17,31/1/17,Weekly Special,59364.98228
21/9/13,0,0,8832,0,0,0,4.05,4.05,,12/4/17,18/4/17,Weekly Special,9652.190028
28/9/13,0,0,8640,0,0,0,4.05,4.05,,9/8/17,15/8/17,Weekly Special,7562.445684
5/10/13,0,0,6912,0,0,0,4.05,4.05,,6/9/17,19/9/17,Weekly Special,10971.65734
12/10/13,0,0,9984,0,0,0,4.05,4.05,,18/10/17,31/10/17,Weekly Special,4891.311954
19/10/13,0,0,10368,0,0,0,4.05,4.05,,11/4/18,17/4/18,Weekly Special,-3.06E-13
26/10/13,0,0,10368,0,0,0,4.05,4.05,,6/6/18,19/6/18,Weekly Special,16182.00005
2/11/13,0,0,4992,0,0,0,4.05,4.05,,,,,
9/11/13,0,0,10368,0,0,0,4.05,4.05,,,,,
16/11/13,0,0,5184,0,0,0,4.05,4.05,,,,,
23/11/13,0,0,12096,0,0,0,4.05,4.05,,,,,
30/11/13,0,0,8640,0,0,0,4.05,4.05,,,,,
7/12/13,0,0,5184,0,0,0,4.05,4.05,,,,,
14/12/13,0,0,8640,0,0,0,4.05,4.05,,,,,
21/12/13,0,0,5184,0,0,0,4.05,4.05,,,,,
28/12/13,0,0,6912,0,0,0,4.05,4.05,,,,,
4/1/14,0,0,5184,0,0,0,4.05,4.05,,,,,
11/1/14,0,0,5184,0,0,0,4.05,4.05,,,,,
18/1/14,0,0,15360,0,0,0,4.05,4.05,,,,,
25/1/14,0,0,5184,0,0,0,4.05,4.05,,,,,
1/2/14,0,0,6912,0,0,0,4.05,4.05,,,,,
8/2/14,0,0,8508,0,0,0,4.05,4.05,,,,,
15/2/14,0,0,12864,0,0,0,4.05,4.05,,,,,
22/2/14,0,0,10368,0,0,0,4.05,4.05,,,,,
1/3/14,0,0,5184,0,0,0,4.05,4.05,,,,,
8/3/14,0.00E+00,0,8640,0,0,0,4.05,4.05,,,,,
15/3/14,0,0,12096,0,0,0,4.05,4.05,,,,,
22/3/14,0,0,5184,0,0,0,4.05,4.05,,,,,
29/3/14,0,0,10368,0,0,0,4.05,4.05,,,,,
5/4/14,0,0,13824,0,0,0,4.05,4.05,,,,,
12/4/14,0,0,5184,0,0,0,4.05,4.05,,,,,
19/4/14,0,0,8640,0,0,0,4.05,4.05,,,,,
26/4/14,0,0,6912,0,0,0,4.05,4.05,,,,,
3/5/14,0,0,8640,0,0,0,4.05,4.05,,,,,
10/5/14,0,0,10368,0,0,0,4.05,4.05,,,,,
17/5/14,0,0,5184,0,0,0,4.05,4.05,,,,,
24/5/14,0,0,6912,0,0,0,4.05,4.05,,,,,
31/5/14,0,0,11328,0,0,0,4.05,4.05,,,,,
7/6/14,0,0,8640,0,0,0,4.05,4.05,,,,,
14/6/14,0,0,7680,0,0,0,4.05,4.05,,,,,
21/6/14,0,0,4800,0,0,0,4.05,4.05,,,,,
28/6/14,0,0,9000,0,0,0,4.05,4.05,,,,,
5/7/14,0,0,10368,0,0,0,4.05,4.05,,,,,
12/7/14,0,0,9600,0,0,0,4.05,4.05,,,,,
19/7/14,7714.670693,0,11328,0,0,0,4.05,4.05,,,,,
26/7/14,1928.667673,0,768,0,4821.669183,0,2.95,4.05,,,,,
2/8/14,964.3338366,0,23232,0,4821.669183,0,2.95,4.05,,,,,
9/8/14,-5.33E-15,0,3138,0,0,0,4.05,4.05,,,,,
16/8/14,0,0,7104,0,0,0,4.05,4.05,,,,,
23/8/14,0,0,1728,0,0,0,4.05,4.05,,,,,
