Date,Forecast Units,Bottom Up Forecast Baseline Units,Actual ExF Sales Units,Actual Scan Sales (Shifted) Units,Scan Forecast (Shifted) Units,Actual Scan Sales Baseline (Shifted) Units,PPP / EA,RRP / EA,,Start Date,End Date,Type,Incremental Units
29/6/13,0,0,0,0,0,0,0,0,,7/6/17,13/6/17,Weekly Special,313.6049825
6/7/13,0,0,0,0,0,0,0,0,,26/7/17,1/8/17,Weekly Special,2583.562031
13/7/13,0,0,0,0,0,0,0,0,,16/8/17,22/8/17,Weekly Special,2787.377915
20/7/13,0,0,0,0,0,0,0,0,,20/9/17,26/9/17,Weekly Special,2423.999232
27/7/13,0,0,0,0,0,0,0,0,,11/10/17,17/10/17,Weekly Special,2587.011346
3/8/13,0,0,0,0,0,0,0,0,,15/11/17,21/11/17,Weekly Special,3834.863893
10/8/13,0,0,0,0,0,0,0,0,,3/1/18,9/1/18,Weekly Special,4362.385372
17/8/13,0,0,0,0,0,0,0,0,,24/1/18,30/1/18,Weekly Special,3099.749356
24/8/13,0,0,0,0,0,0,0,0,,14/2/18,27/2/18,Weekly Special,6035.087714
31/8/13,0,0,0,0,0,0,0,0,,2/5/18,8/5/18,Weekly Special,899.246652
7/9/13,0,0,0,0,0,0,0,0,,2/5/18,8/5/18,Weekly Special,215.119992
14/9/13,0,0,0,0,0,0,0,0,,2/5/18,8/5/18,Weekly Special,1119.786684
21/9/13,0,0,0,0,0,0,0,0,,2/5/18,8/5/18,Weekly Special,401.966652
28/9/13,0,0,0,0,0,0,0,0,,23/5/18,29/5/18,Weekly Special,568.922304
5/10/13,0,0,0,0,0,0,0,0,,23/5/18,29/5/18,Weekly Special,3755.839996
12/10/13,0,0,0,0,0,0,0,0,,23/5/18,29/5/18,Weekly Special,730.8400044
19/10/13,0,0,0,0,0,0,0,0,,23/5/18,29/5/18,Weekly Special,1288.565508
26/10/13,0,0,0,0,0,0,0,0,,13/6/18,19/6/18,Weekly Special,852.809064
2/11/13,0,0,0,0,0,0,0,0,,13/6/18,19/6/18,Weekly Special,481.293792
9/11/13,0,0,0,0,0,0,0,0,,,,,
16/11/13,0,0,0,0,0,0,0,0,,,,,
23/11/13,0,0,0,0,0,0,0,0,,,,,
30/11/13,0,0,0,0,0,0,0,0,,,,,
7/12/13,0,0,0,0,0,0,0,0,,,,,
14/12/13,0,0,0,0,0,0,0,0,,,,,
21/12/13,0,0,0,0,0,0,0,0,,,,,
28/12/13,0,0,0,0,0,0,0,0,,,,,
4/1/14,0,0,0,0,0,0,0,0,,,,,
11/1/14,0,0,0,0,0,0,0,0,,,,,
18/1/14,0,0,0,0,0,0,0,0,,,,,
25/1/14,0,0,0,0,0,0,0,0,,,,,
1/2/14,0,0,0,0,0,0,0,0,,,,,
8/2/14,0,0,0,0,0,0,0,0,,,,,
15/2/14,0,0,0,0,0,0,0,0,,,,,
22/2/14,0,0,0,0,0,0,0,0,,,,,
1/3/14,0,0,0,0,0,0,0,0,,,,,
8/3/14,0,0,0,0,0,0,0,0,,,,,
15/3/14,0,0,0,0,0,0,0,0,,,,,
22/3/14,0,0,0,0,0,0,0,0,,,,,
29/3/14,0,0,0,0,0,0,0,0,,,,,
5/4/14,0,0,0,0,0,0,0,0,,,,,
12/4/14,0,0,0,0,0,0,0,0,,,,,
19/4/14,0,0,0,0,0,0,0,0,,,,,
26/4/14,0,0,0,0,0,0,0,0,,,,,
3/5/14,0,0,0,0,0,0,0,0,,,,,
10/5/14,0,0,0,0,0,0,0,0,,,,,
17/5/14,0,0,0,0,0,0,0,0,,,,,
24/5/14,0,0,0,0,0,0,0,0,,,,,
31/5/14,0,0,0,0,0,0,0,0,,,,,
7/6/14,0,0,0,0,0,0,0,0,,,,,
14/6/14,0,0,0,0,0,0,0,0,,,,,
21/6/14,0,0,0,0,0,0,0,0,,,,,
28/6/14,0,0,0,0,0,0,0,0,,,,,
5/7/14,0,0,0,0,0,0,0,0,,,,,
12/7/14,0,0,0,0,0,0,0,0,,,,,
19/7/14,0,0,0,0,0,0,0,0,,,,,
26/7/14,0,0,0,0,0,0,0,0,,,,,
2/8/14,0,0,0,0,0,0,0,0,,,,,
9/8/14,0,0,0,0,0,0,0,0,,,,,
16/8/14,0,0,0,0,0,0,0,0,,,,,
23/8/14,0,0,0,0,0,0,0,0,,,,,
30/8/14,0,0,0,0,0,0,0,0,,,,,
6/9/14,0,0,0,0,0,0,0,0,,,,,
13/9/14,0,0,0,0,0,0,0,0,,,,,
20/9/14,0,0,0,0,0,0,0,0,,,,,
27/9/14,0,0,0,0,0,0,0,0,,,,,
4/10/14,0,0,0,0,0,0,0,0,,,,,
11/10/14,0,0,0,0,0,0,0,0,,,,,
18/10/14,0,0,0,0,0,0,0,0,,,,,
25/10/14,0,0,0,0,0,0,0,0,,,,,
1/11/14,0,0,0,0,0,0,0,0,,,,,
8/11/14,0,0,0,0,0,0,0,0,,,,,
15/11/14,0,0,0,0,0,0,0,0,,,,,
22/11/14,0,0,0,0,0,0,0,0,,,,,
29/11/14,0,0,0,0,0,0,0,0,,,,,
6/12/14,0,0,0,0,0,0,0,0,,,,,
13/12/14,0,0,0,0,0,0,0,0,,,,,
20/12/14,0,0,0,0,0,0,0,0,,,,,
27/12/14,0,0,0,0,0,0,0,0,,,,,
