time,actual_sale,baseline_forecast,advanced_forecast,no_forecast,promo,Environmental_Impact
1,368,NA,NA,NA,No Pro,Uncertain
2,302,NA,NA,NA,No Pro,Uncertain
3,249,NA,NA,NA,No Pro,Uncertain
4,258,NA,NA,NA,No Pro,Uncertain
5,246,NA,NA,NA,No Pro,Uncertain
6,455,NA,NA,NA,A,Negative
7,215,NA,NA,NA,No Pro,Uncertain
8,238,NA,NA,NA,No Pro,Uncertain
9,225,NA,NA,NA,No Pro,Uncertain
10,249,NA,NA,NA,No Pro,Uncertain
11,226,NA,NA,NA,No Pro,Uncertain
12,356,NA,NA,NA,B,Negative
13,196,NA,NA,NA,No Pro,Uncertain
14,207,NA,NA,NA,No Pro,Uncertain
15,195,NA,NA,NA,No Pro,Uncertain
16,190,NA,NA,NA,No Pro,Uncertain
17,197,NA,NA,NA,No Pro,Uncertain
18,203,NA,NA,NA,No Pro,Uncertain
19,205,NA,NA,NA,No Pro,Uncertain
20,196,NA,NA,NA,No Pro,Uncertain
21,194,NA,NA,NA,No Pro,Uncertain
22,281,NA,NA,NA,No Pro,Uncertain
23,203,NA,NA,NA,No Pro,Uncertain
24,201,NA,NA,NA,No Pro,Uncertain
25,NA,NA,NA,NA,B,Negative
